epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,4134.25,1.18627,2.09329,0.70996,1.16304,0.8571,0.78931,0.84532,0.52608,0.86165,0.78541,0.84254,0.47032,1.40012,2.38791,0.75528,1.3069,0.0018843,0.0018843,0.0018843
86,4182.6,1.18305,2.08153,0.70177,1.15321,0.84715,0.79193,0.84298,0.52274,0.86578,0.78713,0.84309,0.4698,1.40882,2.40329,0.73976,1.31137,0.00186167,0.00186167,0.00186167
87,4230.89,1.17976,2.08146,0.68754,1.16166,0.8582,0.78235,0.8428,0.52862,0.85893,0.78083,0.83741,0.47457,1.40028,2.37539,0.7421,1.31848,0.00183894,0.00183894,0.00183894
88,4279.21,1.17673,2.07061,0.69063,1.15279,0.86131,0.79384,0.84822,0.5308,0.85972,0.79867,0.84499,0.47502,1.40374,2.41531,0.73658,1.31696,0.00181614,0.00181614,0.00181614
89,4327.6,1.17044,2.06583,0.69082,1.15753,0.85514,0.79166,0.84625,0.51772,0.86021,0.78632,0.84344,0.4674,1.42447,2.39811,0.75797,1.3315,0.00179326,0.00179326,0.00179326
90,4375.98,1.16677,2.08847,0.69031,1.14741,0.84285,0.82075,0.85392,0.53252,0.83905,0.80582,0.84444,0.47772,1.40897,2.37309,0.73218,1.32064,0.00177031,0.00177031,0.00177031
91,4424.63,1.17368,2.06514,0.68126,1.15098,0.84333,0.81176,0.85061,0.52695,0.84784,0.81144,0.84823,0.47819,1.40764,2.3405,0.73535,1.31898,0.00174731,0.00174731,0.00174731
92,4472.86,1.18008,2.06801,0.6922,1.15257,0.85663,0.8095,0.85253,0.5254,0.85763,0.79695,0.84043,0.4741,1.41549,2.37508,0.74577,1.31494,0.00172424,0.00172424,0.00172424
93,4521.16,1.14763,2.03931,0.67089,1.14095,0.84053,0.80229,0.84868,0.52394,0.83999,0.79654,0.84418,0.47029,1.4281,2.38679,0.75164,1.33084,0.00170112,0.00170112,0.00170112
94,4569.41,1.15346,2.06709,0.67294,1.14686,0.84363,0.8161,0.85078,0.52214,0.84275,0.81249,0.8447,0.4767,1.42679,2.37971,0.73542,1.32382,0.00167796,0.00167796,0.00167796
95,4617.72,1.15297,2.04005,0.67221,1.1405,0.86546,0.80503,0.84976,0.52739,0.8714,0.8076,0.84744,0.47866,1.40099,2.34479,0.73113,1.3111,0.00165475,0.00165475,0.00165475
96,4666.13,1.13637,2.02595,0.66058,1.1297,0.85358,0.80695,0.85178,0.52308,0.86213,0.79879,0.83939,0.46819,1.43043,2.44468,0.73788,1.3221,0.00163151,0.00163151,0.00163151
97,4714.39,1.14083,2.03705,0.65974,1.13432,0.86192,0.7985,0.8488,0.53014,0.86532,0.8018,0.84625,0.47978,1.40117,2.41005,0.73046,1.29646,0.00160824,0.00160824,0.00160824
98,4762.7,1.13956,2.02585,0.65378,1.12858,0.85944,0.81147,0.84863,0.52841,0.86469,0.8109,0.84549,0.47945,1.41884,2.37659,0.72453,1.31321,0.00158495,0.00158495,0.00158495
99,4811.11,1.13072,2.0256,0.64987,1.12264,0.84643,0.80314,0.8457,0.52565,0.86315,0.79499,0.84815,0.47756,1.41034,2.37177,0.72457,1.30354,0.00156164,0.00156164,0.00156164
100,4859.45,1.12743,2.02693,0.65639,1.12978,0.83617,0.81509,0.84809,0.52451,0.84623,0.80289,0.8413,0.47619,1.4157,2.39778,0.73166,1.32444,0.00153833,0.00153833,0.00153833
101,4907.71,1.13036,2.0037,0.64666,1.1294,0.83716,0.81241,0.84613,0.52718,0.85405,0.79774,0.84813,0.47875,1.40769,2.37443,0.71707,1.30436,0.001515,0.001515,0.001515
102,4955.99,1.12843,2.02032,0.65107,1.12407,0.84209,0.8153,0.84756,0.52886,0.84645,0.80807,0.84769,0.4742,1.41063,2.41284,0.72612,1.30713,0.00149167,0.00149167,0.00149167
103,5004.33,1.1233,2.01078,0.64111,1.12189,0.85607,0.79277,0.8441,0.5238,0.85862,0.79305,0.83959,0.47463,1.42812,2.40528,0.72529,1.32345,0.00146836,0.00146836,0.00146836
104,5052.65,1.12127,1.99668,0.64229,1.12113,0.84669,0.81217,0.84765,0.52288,0.85177,0.80572,0.84295,0.47533,1.41558,2.40653,0.73876,1.32379,0.00144505,0.00144505,0.00144505
105,5101.01,1.1042,1.96954,0.63274,1.11453,0.84806,0.80956,0.84761,0.52428,0.84919,0.81027,0.84912,0.47736,1.42327,2.42187,0.72435,1.32324,0.00142176,0.00142176,0.00142176
106,5149.41,1.12385,2.01853,0.64199,1.11914,0.84426,0.81245,0.84986,0.52935,0.86739,0.80058,0.8509,0.4794,1.404,2.38655,0.71644,1.31029,0.00139849,0.00139849,0.00139849
107,5197.83,1.10014,1.95746,0.6217,1.11395,0.83455,0.82217,0.84964,0.5288,0.86731,0.79454,0.84721,0.48004,1.40975,2.38859,0.7175,1.32013,0.00137525,0.00137525,0.00137525
108,5246.19,1.1081,2.01032,0.63337,1.11424,0.85162,0.81493,0.85333,0.5258,0.84748,0.80948,0.84698,0.47465,1.4164,2.42376,0.73037,1.32348,0.00135204,0.00135204,0.00135204
109,5294.58,1.09459,1.9626,0.62575,1.10507,0.83688,0.8239,0.8508,0.52393,0.84024,0.81894,0.84622,0.47264,1.43594,2.43336,0.72937,1.33211,0.00132888,0.00132888,0.00132888
