pair_id,platform,method,error_px
M300H20T0544,A,ECC,1.2617785930633545
M300H20T0544,A,ECC,1.6208934783935547
M300H20T0544,A,ECC,9.101195335388184
M300H20T0544,A,ECC,9.749482154846191
M300H20T0544,A,ECC,86.74726104736328
M300H20T0544,A,ECC,1.4176489114761353
M300H20T0544,A,ECC,1.8769731521606445
M300H20T0544,A,ECC,6.26155948638916
M300H20T0544,A,MI,1.3610644340515137
M300H20T0544,A,MI,3.6282358169555664
M300H20T0544,A,MI,8.409259796142578
M300H20T0544,A,MI,7.277304649353027
M300H20T0544,A,MI,4.197033405303955
M300H20T0544,A,MI,3.1147429943084717
M300H20T0544,A,MI,83.12230682373047
M300H20T0544,A,MI,7.686500549316406
M300H20T0544,A,MI,6.1575140953063965
M300H20T0544,A,MI,1.6740108728408813
M300H20T0544,A,LoFTR,4.681821346282959
M300H20T0544,A,LoFTR,0.1787881702184677
M300H20T0544,A,LoFTR,2.894273042678833
M300H20T0544,A,LoFTR,0.45002928376197815
M300H20T0544,A,LoFTR,0.546794593334198
M300H20T0544,A,LoFTR,6.705767631530762
M300H20T0544,A,LoFTR,79.24960327148438
M300H20T0544,A,LoFTR,1.4233341217041016
M300H20T0544,A,LoFTR,0.9294551014900208
M300H20T0544,A,LoFTR,3.0333192348480225
M300H20T0544,A,ECC+MI,1.3610644340515137
M300H20T0544,A,ECC+MI,3.6282358169555664
M300H20T0544,A,ECC+MI,8.409259796142578
M300H20T0544,A,ECC+MI,7.277304649353027
M300H20T0544,A,ECC+MI,4.197033405303955
M300H20T0544,A,ECC+MI,3.1147429943084717
M300H20T0544,A,ECC+MI,83.12230682373047
M300H20T0544,A,ECC+MI,7.686500549316406
M300H20T0544,A,ECC+MI,6.1575140953063965
M300H20T0544,A,ECC+MI,1.6740108728408813
DJI_00770058,B,ECC,38.14971160888672
DJI_00770058,B,ECC,118.03733825683594
DJI_00770058,B,ECC,40.15529251098633
DJI_00770058,B,ECC,38.29094696044922
DJI_00770058,B,ECC,104.40168762207031
DJI_00770058,B,ECC,45.775264739990234
DJI_00770058,B,ECC,119.68199920654297
DJI_00770058,B,ECC,35.449161529541016
DJI_00770058,B,ECC,35.8563346862793
DJI_00770058,B,ECC,63.23583221435547
DJI_00770058,B,MI,44.48820877075195
DJI_00770058,B,MI,41.009796142578125
DJI_00770058,B,MI,30.642833709716797
DJI_00770058,B,MI,45.73439025878906
DJI_00770058,B,MI,34.22892761230469
DJI_00770058,B,MI,33.17242431640625
DJI_00770058,B,MI,41.141990661621094
DJI_00770058,B,MI,34.57111740112305
DJI_00770058,B,MI,44.6110725402832
DJI_00770058,B,MI,34.7893180847168
DJI_00770058,B,LoFTR,6.283161640167236
DJI_00770058,B,LoFTR,1.2027851343154907
DJI_00770058,B,LoFTR,6.645899772644043
DJI_00770058,B,LoFTR,7.354511737823486
DJI_00770058,B,LoFTR,1.5805259943008423
DJI_00770058,B,LoFTR,1.0956394672393799
DJI_00770058,B,LoFTR,0.5285613536834717
DJI_00770058,B,LoFTR,1.0196151733398438
DJI_00770058,B,LoFTR,6.445761680603027
DJI_00770058,B,LoFTR,5.253470420837402
DJI_00770058,B,ECC+MI,44.02928924560547
DJI_00770058,B,ECC+MI,131.19937133789062
DJI_00770058,B,ECC+MI,34.27738952636719
DJI_00770058,B,ECC+MI,44.71909713745117
DJI_00770058,B,ECC+MI,118.02198028564453
DJI_00770058,B,ECC+MI,33.180458068847656
DJI_00770058,B,ECC+MI,132.80178833007812
DJI_00770058,B,ECC+MI,28.46257972717285
DJI_00770058,B,ECC+MI,28.341567993164062
DJI_00770058,B,ECC+MI,47.77597427368164
DJI_00770203,B,ECC,7.303949356079102
DJI_00770203,B,ECC,147.8134002685547
DJI_00770203,B,ECC,11.01707649230957
DJI_00770203,B,ECC,55.721031188964844
DJI_00770203,B,ECC,264.3034362792969
DJI_00770203,B,ECC,0.432644784450531
DJI_00770203,B,ECC,2.464972496032715
DJI_00770203,B,ECC,265.4083557128906
DJI_00770203,B,ECC,394.07550048828125
DJI_00770203,B,ECC,147.65451049804688
DJI_00770203,B,MI,110.97852325439453
DJI_00770203,B,MI,87.97288513183594
DJI_00770203,B,MI,117.67584991455078
DJI_00770203,B,MI,108.93812561035156
DJI_00770203,B,MI,161.42747497558594
DJI_00770203,B,MI,111.09968566894531
